Candidato,Porcentaje,Tendencia
Roy Barreras,0.2,Izquierda
Mauricio Cárdenas,0.4,Centro
Iván Cepeda,26.5,Izquierda
Vicky Dávila,0.9,Derecha
Abelardo de la Espriella,28.0,Derecha
Sergio Fajardo,9.4,Centro
Juan Manuel Galán,1.1,Centro
Aníbal Gaviria,1.3,Centro
Claudia López,2.6,Centro
David Luna,0.9,Centro
Juan Daniel Oviedo,1.8,Centro
Enrique Peñalosa,2.3,Centro
Juan Carlos Pinzón,5.1,Centro
Daniel Quintero,0.4,Izquierda
Paloma Valencia,5.1,Derecha
Ninguno,7.2,Otros
NS/NR,1.1,Otros
Blanco,5.7,Otros
