Fecha,Encuestadora,Candidato,Porcentaje,Muestra,Margen_Error
2025-11-27,Invamer,Iván Cepeda,31.9,2080,2.3%
2025-11-27,Invamer,Abelardo de la Espriella,18.2,2080,2.3%
2025-11-27,Invamer,Sergio Fajardo,8.5,2080,2.3%
2025-11-27,Invamer,Claudia López,4.1,2080,2.3%
2025-11-27,Invamer,Vicky Dávila,3.7,2080,2.3%
2025-11-27,Invamer,Daniel Quintero,2.9,2080,2.3%
2025-11-27,Invamer,Juan Manuel Galán,1.6,2080,2.3%
2025-11-27,Invamer,Alejandro Gaviria,1.3,2080,2.3%
2025-11-27,Invamer,María Fernanda Cabal,1.1,2080,2.3%
2025-11-27,Invamer,Germán Vargas Lleras,1.1,2080,2.3%
2025-11-27,Invamer,Paloma Valencia,1.0,2080,2.3%
2025-11-27,Invamer,Juan Daniel Oviedo,0.9,2080,2.3%
2025-11-27,Invamer,Carlos Caicedo,0.8,2080,2.3%
2025-11-27,Invamer,Roy Barreras,0.6,2080,2.3%
2025-11-27,Invamer,Susana Muhamad,0.6,2080,2.3%
2025-11-27,Invamer,David Luna,0.6,2080,2.3%
2025-11-27,Invamer,Luis Gilberto Murillo,0.5,2080,2.3%
2025-11-27,Invamer,Ninguno,4.5,2080,2.3%
2025-11-14,CNC,Iván Cepeda,20.9,2140,3.0%
2025-11-14,CNC,Abelardo de la Espriella,14.4,2140,3.0%
2025-11-14,CNC,Sergio Fajardo,7.8,2140,3.0%
2025-11-14,CNC,Claudia López,5.0,2140,3.0%
2025-11-14,CNC,Juan Manuel Galán,3.3,2140,3.0%
2025-11-14,CNC,Vicky Dávila,3.2,2140,3.0%
2025-11-14,CNC,Germán Vargas Lleras,1.6,2140,3.0%
2025-11-14,CNC,Enrique Peñalosa,1.4,2140,3.0%
2025-11-14,CNC,Alejandro Gaviria,1.0,2140,3.0%
2025-11-14,CNC,María Fernanda Cabal,0.9,2140,3.0%
2025-11-14,CNC,Ninguno,18.5,2140,3.0%
2025-11-15,Yamil Cure,Iván Cepeda,19.6,2250,3.0%
2025-11-15,Yamil Cure,Abelardo de la Espriella,15.6,2250,3.0%
2025-11-15,Yamil Cure,Sergio Fajardo,10.6,2250,3.0%
2025-11-15,Yamil Cure,Claudia López,7.1,2250,3.0%
2025-11-15,Yamil Cure,Juan Manuel Galán,5.2,2250,3.0%
2025-11-15,Yamil Cure,Daniel Quintero,5.0,2250,3.0%
2025-11-15,Yamil Cure,Vicky Dávila,4.2,2250,3.0%
2025-11-15,Yamil Cure,Ninguno,13.7,2250,3.0%
2025-10-16,CNC,Abelardo de la Espriella,13.7,1803,2.4%
2025-10-16,CNC,Daniel Quintero,9.7,1803,2.4%
2025-10-16,CNC,Sergio Fajardo,8.9,1803,2.4%
2025-10-16,CNC,Iván Cepeda,8.0,1803,2.4%
2025-10-16,CNC,Efraín Cepeda,8.1,1803,2.4%
2025-10-16,CNC,Vicky Dávila,6.4,1803,2.4%
2025-10-16,CNC,Claudia López,5.5,1803,2.4%
2025-10-16,CNC,Ninguno,9.9,1803,2.4%
2025-07-05,Guarumo,Vicky Dávila,11.5,2122,2.2%
2025-07-05,Guarumo,Gustavo Bolívar,10.5,2122,2.2%
2025-07-05,Guarumo,Sergio Fajardo,8.7,2122,2.2%
2025-07-05,Guarumo,Daniel Quintero,8.1,2122,2.2%
2025-07-05,Guarumo,Claudia López,5.3,2122,2.2%
2025-07-05,Guarumo,Juan Manuel Galán,3.0,2122,2.2%
2025-07-05,Guarumo,Germán Vargas Lleras,2.9,2122,2.2%
2025-07-05,Guarumo,Carolina Corcho,2.4,2122,2.2%
2025-07-05,Guarumo,Juan Daniel Oviedo,2.2,2122,2.2%
2025-07-05,Guarumo,Iván Cepeda,2.1,2122,2.2%
2025-07-05,Guarumo,María Fernanda Cabal,1.9,2122,2.2%
2025-07-05,Guarumo,Susana Muhamad,1.7,2122,2.2%
2025-07-05,Guarumo,David Luna,1.2,2122,2.2%
2025-07-05,Guarumo,Abelardo de la Espriella,1.1,2122,2.2%
2025-07-05,Guarumo,Ninguno,5.3,2122,2.2%
2024-12-12,Guarumo/EcoAnalítica,Sergio Fajardo,14.5,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,Vicky Dávila,13.1,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,Gustavo Bolívar,8.9,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,Claudia López,5.7,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,Juan Manuel Galán,5.0,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,Germán Vargas Lleras,5.0,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,Francia Márquez,3.7,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,María Fernanda Cabal,3.0,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,Alejandro Gaviria,2.8,2018,2.2%
2024-12-12,Guarumo/EcoAnalítica,Ninguno,7.7,2018,2.2%
