Candidato,Porcentaje,Tendencia
Iván Cepeda,30.7,Izquierda
Abelardo de la Espriella,16.2,Derecha
Sergio Fajardo,6.7,Centro
María Fernanda Cabal,4.1,Derecha
Vicky Dávila,3.6,Derecha
Claudia López,3.5,Centro
David Luna,3.5,Centro
Roy Barreras,6.1,Izquierda
Juan Manuel Galán,1.6,Centro
Alejandro Gaviria,0.4,Centro
Daniel Quintero,1.2,Izquierda
Juan Daniel Oviedo,1.5,Centro
Susana Muhamad,1.2,Izquierda
Germán Vargas Lleras,0.7,Derecha
Paloma Valencia,0.7,Derecha
Enrique Peñalosa,0.7,Centro
Luis Gilberto Murillo,1.2,Centro
Carlos Caicedo,0.3,Izquierda
Ninguno,11.8,Otros
NS/NR,2.6,Otros
