Candidato,Porcentaje,Tendencia
Iván Cepeda,31.9,Izquierda
Abelardo de la Espriella,18.2,Derecha
Sergio Fajardo,8.5,Centro
Claudia López,4.1,Centro
Vicky Dávila,3.7,Derecha
Daniel Quintero,2.9,Izquierda
Juan Manuel Galán,1.6,Centro
Alejandro Gaviria,1.3,Centro
María Fernanda Cabal,1.1,Derecha
Germán Vargas Lleras,1.1,Derecha
Paloma Valencia,1.0,Derecha
Juan Daniel Oviedo,0.9,Centro
Carlos Caicedo,0.8,Izquierda
Roy Barreras,0.6,Izquierda
Susana Muhamad,0.6,Izquierda
David Luna,0.6,Centro
Luis Gilberto Murillo,0.5,Centro
Enrique Peñalosa,0.5,Centro
Ninguno,4.5,Otros
NS/NR,6.6,Otros
