Candidato,Porcentaje,Tendencia
Miguel Uribe,13.7,Derecha
Vicky Dávila,11.5,Derecha
Gustavo Bolívar,10.5,Izquierda
Sergio Fajardo,8.7,Centro
Daniel Quintero,8.1,Izquierda
Claudia López,5.3,Centro
Ninguno,5.3,Otros
María José Pizarro,3.2,Izquierda
Juan Manuel Galán,3.0,Centro
Germán Vargas,2.9,Centro-Derecha
Jota Pe Hernández,2.5,Centro
Carolina Corcho,2.4,Izquierda
Juan Daniel Oviedo,2.2,Centro
Iván Cepeda,2.1,Izquierda
María Fernanda Cabal,1.9,Derecha
Susana Muhamad,1.7,Izquierda
David Luna,1.2,Derecha
Abelardo de la Espriella,1.1,Centro-Derecha
Mauricio Cárdenas,1.0,Centro
Roy Barreras,0.9,Izquierda
Paloma Valencia,0.7,Derecha
Alejandro Gaviria,0.7,Centro
Daniel Palacios,0.6,Derecha
Camilo Romero,0.5,Izquierda
Mauricio Lizcano,0.5,Centro
Luis Gilberto Murillo,0.5,Centro
Aníbal Gaviria,0.5,Centro
Enrique Peñalosa,0.5,Centro
Felipe Córdoba,0.4,Derecha
Jaime Pumarejo,0.4,Centro
Luis Carlos Reyes,0.4,Centro
Juan Guillermo Zuluaga,0.4,Derecha
Santiago Botero,0.3,Centro-Derecha
Carlos Caicedo,0.3,Izquierda
Andrés Guerra,0.2,Derecha
Francisco Barbosa,0.2,Derecha
Ángel Custodio,0.1,Centro
Juan C. Cárdenas,0.1,Centro
