Candidato,Porcentaje,Tendencia,Fuente
Iván Cepeda,20.9,Izquierda,CNC Nov 2025
Abelardo de la Espriella,14.4,Derecha,CNC Nov 2025
Sergio Fajardo,7.8,Centro,CNC Nov 2025
Germán Vargas Lleras,7.5,Derecha,CNC Nov 2025
Claudia López,5.0,Centro,CNC Nov 2025
Alejandro Gaviria,4.1,Centro,CNC Nov 2025
Paloma Valencia,3.7,Derecha,CNC Nov 2025
Juan Manuel Galán,3.3,Centro,CNC Nov 2025
Vicky Dávila,3.2,Derecha,CNC Nov 2025
Camilo Romero,1.6,Izquierda,CNC Nov 2025
Susana Muhamad,1.4,Izquierda,CNC Nov 2025
María Fernanda Cabal,0.9,Derecha,CNC Nov 2025
Gustavo Bolívar,0.0,Izquierda,CNC Nov 2025
Ninguno,18.5,Otros,CNC Nov 2025
