Candidato,Coalicion,Favorable,Desfavorable,NS/NR,Fecha,Encuesta
Abelardo de la Espriella,Defensores de la Patria,44.2,37.8,18.0,05-08/01/2026,Atlas Intel
Iván Cepeda,Pacto Histórico,39.6,43.2,17.2,05-08/01/2026,Atlas Intel
Sergio Fajardo,Coalición Centro,37.9,35.1,27.0,05-08/01/2026,Atlas Intel
Paloma Valencia,Gran Consulta,38.2,34.5,27.3,05-08/01/2026,Atlas Intel
Juan Carlos Pinzón,Gran Consulta,36.4,31.8,31.8,05-08/01/2026,Atlas Intel
Roy Barreras,Pacto Histórico,32.1,38.9,29.0,05-08/01/2026,Atlas Intel
Aníbal Gaviria,Gran Consulta,31.5,32.8,35.7,05-08/01/2026,Atlas Intel
Juan Daniel Oviedo,Gran Consulta,30.9,33.2,35.9,05-08/01/2026,Atlas Intel
Vicky Dávila,Gran Consulta,28.7,45.2,26.1,05-08/01/2026,Atlas Intel
Enrique Peñalosa,Independiente,25.3,48.1,26.6,05-08/01/2026,Atlas Intel
Claudia López,Verde Oxígeno,24.5,51.2,24.3,05-08/01/2026,Atlas Intel
Mauricio Cárdenas,Gran Consulta,22.8,38.2,38.9,05-08/01/2026,Atlas Intel
Juan Manuel Galán,Gran Consulta,21.4,35.7,42.9,05-08/01/2026,Atlas Intel
David Luna,Gran Consulta,19.2,41.3,39.5,05-08/01/2026,Atlas Intel
Daniel Quintero,Independiente,18.3,52.1,29.6,05-08/01/2026,Atlas Intel
Juan Fernando Cristo,Pacto Histórico,16.8,43.5,39.7,05-08/01/2026,Atlas Intel
