Escenario,Candidato,Intención_Voto,Cambio_Vs_Anterior,Posicion,Coalicion,Fuente_Encuesta,Fecha
Escenario_1_Todos_Candidatos,Abelardo de la Espriella,28.0,+9.8,1,Defensores de la Patria,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Iván Cepeda,26.5,-4.2,2,Pacto Histórico,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Sergio Fajardo,9.4,+3.2,3,Centro,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Juan Carlos Pinzón,5.1,+0.5,4,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Paloma Valencia,5.1,+1.2,5,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Claudia López,2.6,-0.8,6,Verde,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Enrique Peñalosa,2.3,+0.3,7,Independiente,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Juan Daniel Oviedo,1.8,+0.2,8,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Aníbal Gaviria,1.3,-0.2,9,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Juan Manuel Galán,1.1,-0.1,10,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,David Luna,0.9,0.0,11,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Daniel Quintero,0.4,-0.2,12,Independiente,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Mauricio Cárdenas,0.4,-0.1,13,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Roy Barreras,0.2,-0.1,14,Pacto Histórico,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Vicky Dávila,0.0,0.0,15,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Daniel Palacios,0.0,0.0,16,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Voto en Blanco,7.2,+1.0,NSA,NSA,Atlas Intel,05-08/01/2026
Escenario_1_Todos_Candidatos,Indeciso/NS-NR,5.7,+2.1,NSA,NSA,Atlas Intel,05-08/01/2026
Escenario_2_Top_Cuatro,Abelardo de la Espriella,31.7,+3.7,1,Defensores de la Patria,Atlas Intel,05-08/01/2026
Escenario_2_Top_Cuatro,Iván Cepeda,28.6,-2.1,2,Pacto Histórico,Atlas Intel,05-08/01/2026
Escenario_2_Top_Cuatro,Sergio Fajardo,14.8,+5.4,3,Centro,Atlas Intel,05-08/01/2026
Escenario_2_Top_Cuatro,Paloma Valencia,9.3,+4.2,4,Gran Consulta,Atlas Intel,05-08/01/2026
Escenario_3_Top_Tres,Abelardo de la Espriella,36.5,+8.5,1,Defensores de la Patria,Atlas Intel,05-08/01/2026
Escenario_3_Top_Tres,Iván Cepeda,29.4,-2.9,2,Pacto Histórico,Atlas Intel,05-08/01/2026
Escenario_3_Top_Tres,Sergio Fajardo,16.2,+6.8,3,Centro,Atlas Intel,05-08/01/2026
