Balotaje,Candidato_A,Candidato_B,Porcentaje_A,Porcentaje_B,Ventaja_A,Blanco_Nulo,NS_NR,Coalicion_A,Coalicion_B,Fuente_Encuesta,Fecha
De la Espriella vs Cepeda,Abelardo de la Espriella,Iván Cepeda,44.2,34.9,+9.3,10.6,10.3,Defensores de la Patria,Pacto Histórico,Atlas Intel,05-08/01/2026
Fajardo vs Cepeda,Sergio Fajardo,Iván Cepeda,39.6,32.1,+7.5,17.9,10.4,Centro,Pacto Histórico,Atlas Intel,05-08/01/2026
Valencia vs Cepeda,Paloma Valencia,Iván Cepeda,38.2,35.8,+2.4,19.2,6.8,Gran Consulta,Pacto Histórico,Atlas Intel,05-08/01/2026
De la Espriella vs Fajardo,Abelardo de la Espriella,Sergio Fajardo,37.9,23.2,+14.7,27.3,11.6,Defensores de la Patria,Centro,Atlas Intel,05-08/01/2026
Cepeda vs Pinzón,Iván Cepeda,Juan Carlos Pinzón,36.4,31.9,+4.5,21.8,9.9,Pacto Histórico,Gran Consulta,Atlas Intel,05-08/01/2026
Cepeda vs Valencia,Iván Cepeda,Paloma Valencia,35.8,38.2,-2.4,19.2,6.8,Pacto Histórico,Gran Consulta,Atlas Intel,05-08/01/2026
De la Espriella vs Valencia,Abelardo de la Espriella,Paloma Valencia,40.5,35.2,+5.3,18.4,5.9,Defensores de la Patria,Gran Consulta,Atlas Intel,05-08/01/2026
Cepeda vs Gaviria,Iván Cepeda,Aníbal Gaviria,38.7,28.9,+9.8,22.1,10.3,Pacto Histórico,Gran Consulta,Atlas Intel,05-08/01/2026
De la Espriella vs Gaviria,Abelardo de la Espriella,Aníbal Gaviria,42.3,20.1,+22.2,26.4,11.2,Defensores de la Patria,Gran Consulta,Atlas Intel,05-08/01/2026
Cepeda vs Oviedo,Iván Cepeda,Juan Daniel Oviedo,40.2,26.3,+13.9,24.8,8.7,Pacto Histórico,Gran Consulta,Atlas Intel,05-08/01/2026
De la Espriella vs Oviedo,Abelardo de la Espriella,Juan Daniel Oviedo,44.1,18.2,+25.9,28.9,8.8,Defensores de la Patria,Gran Consulta,Atlas Intel,05-08/01/2026
