Candidato,Favorabilidad,Desfavorabilidad,Balance
Abelardo de la Espriella,44.2,37.8,6.4
Iván Cepeda,39.6,43.2,-3.6
Paloma Valencia,38.2,34.5,3.7
Sergio Fajardo,37.9,35.1,2.8
Juan Carlos Pinzón,36.4,31.8,4.6
Roy Barreras,32.1,38.9,-6.8
Aníbal Gaviria,31.5,32.8,-1.3
Juan Daniel Oviedo,30.9,33.2,-2.3
Vicky Dávila,28.7,45.2,-16.5
Enrique Peñalosa,25.3,48.1,-22.8
Claudia López,24.5,51.2,-26.7
Mauricio Cárdenas,22.8,38.2,-15.4
Juan Manuel Galán,21.4,35.7,-14.3
David Luna,19.2,41.3,-22.1
Daniel Quintero,18.3,52.1,-33.8
Juan Fernando Cristo,16.8,43.5,-26.7
