Candidato,Twitter,Instagram,Facebook,Total_Seguidores
Vicky Dávila,1400000,1300000,920400,3620400
Claudia López,1200000,1000000,1300000,3500000
Gustavo Bolívar,950000,500000,500000,1950000
Daniel Quintero,800000,352100,350000,1502100
Sergio Fajardo,830000,300000,780000,1910000
María Fernanda Cabal,760000,309900,280000,1349900
María José Pizarro,500000,270000,250000,1020000
Miguel Uribe,420000,240000,320000,980000
Juan Daniel Oviedo,340000,239400,150000,729400
Germán Vargas Lleras,380000,180000,450000,1010000
Juan Manuel Galán,290000,160000,320000,770000
David Luna,250000,140000,200000,590000
